record_id,next_lesson_attended,m1_retained
e3798299-1a00-4559-ac70-89921e39da1e,0,1
d8e620c0-797e-4c6e-848b-a753108486c9,1,1
fb571fc9-d704-42cc-969a-f4dfd32e90ec,1,1
043dbdec-0d4b-46c8-8855-7b7a80f5f5c6,1,1
57063b8b-6820-4380-a8a6-86a497cd461d,1,0
cb86e98a-b01e-43fc-81d4-0df19309ffba,1,0
0259c33c-b670-4077-a5dc-c867b296caa3,1,1
aeaeb31c-ce79-4a41-a716-a7b1a924fb93,1,1
404b1510-24c2-4b8e-9c38-cd3b4e29ca73,0,1
945db9a4-3c6b-4eb7-9318-6a819e8fb524,0,1
9fec18ec-ed84-4989-93be-d1959f6a0e8c,1,1
1831678c-d255-4288-bf60-f4a5f809c368,1,1
5427d3ea-d91d-46dc-b8cb-cc7f20f07acd,1,1
bf344422-e7a7-453f-8be4-bf2fd05072f9,1,0
cf40decf-1309-4097-b2c8-b565c8e47dbb,1,0
2491f223-806d-48e3-bd18-205be7e2c0e5,1,1
a025cd94-5b5e-4485-a6e1-4099a3e521d0,1,1
486d00c2-32ad-47a5-893a-f3ace4c64aa5,1,0
450625fe-0b7c-452b-8a85-40238d71003e,1,1
37ff9eb8-0614-42e0-aaf4-5eb94956207d,1,1
366c8d45-7727-45b2-ac4b-80da6382b87c,1,1
73491ed5-e3aa-44bd-b3a1-7b7fadbb346a,1,1
52e794b8-cbd8-4347-8470-1470983d4ecb,1,1
3a1c9de5-c82d-49e2-a01f-7355bc8434dd,1,1
d6b40223-de0e-4cbb-9de3-40b8d9dbc839,1,1
d01b00b4-ed25-48cd-a71e-f1ac6fc76da3,1,1
a5e04833-6a6a-4aaf-87e6-e586abfcbeb4,1,1
d9cf88ff-4730-4388-b573-7bd99b3664bc,1,1
4967a2b6-5b5c-4400-8408-c3acadd42435,0,1
8fc2498d-5963-4504-999f-c27c0a83ce4a,1,1
1ff41a99-1b78-470e-8c57-787864172464,0,1
2099a3ab-2693-410f-9ec2-7bd10c29ab69,1,1
013026b3-7c33-464a-8561-49b208cc379f,0,1
2fc8bd66-c5bf-4c27-b74b-0ff3f46354db,1,1
ed0d8cd5-da26-425e-8dff-fe5d240784ea,1,1
9deb3914-9281-4afe-bbc7-3e7abe086c20,1,1
b0dcf9b6-0d0b-4493-a2c8-e89cdfdae22f,1,1
58300c02-1648-4e49-8d24-168054220c81,0,0
2a051422-6834-4e9a-bc62-211250be7fb6,1,0
947bc53a-ebaa-48c9-b1de-ac441e63b324,1,1
bb5d5690-acc7-42f0-ae49-71c26e075d0e,0,0
9650173b-3a8c-45a9-9534-e78ab99c1231,1,1
c9727301-19dc-40f8-afb9-7b462cb6d843,1,1
c8bd0b8d-446a-4879-9fcd-d738891a6cdb,1,1
3e223627-c808-449f-9807-acfe589299d8,1,1
29571861-bf2b-4a68-9258-9398f18b1203,0,1
46d98389-0d80-498e-857d-d92353acd3d6,1,1
0f7449fa-e9f3-41b3-8e99-63a1aedeacac,1,0
c9a2429c-95c3-468d-aa2e-bccc7a108a3a,1,1
